Altium Designer Pick and Place Locations
C:\projetos\simucam_iso\hw\pim_iso_simucam\Project Outputs for iso_simucam\Pick Place\Pick Place for iso_simucam.csv

========================================================================================================================
File Design Information:

Date:       09/03/18
Time:       17:11
Revision:   0
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U14","TPD2E009DRTR","BottomLayer","DRT3","1460.000","1105.000","270","ESD Protection Array for High-Speed Data Interfaces, 2 Channels, -40 to +85 degC, 3-pin SOT (DRT), Green (RoHS & no Sb/Br)"
"U13","TPD2E009DRTR","BottomLayer","DRT3","1460.000","1005.000","270","ESD Protection Array for High-Speed Data Interfaces, 2 Channels, -40 to +85 degC, 3-pin SOT (DRT), Green (RoHS & no Sb/Br)"
"R89","Res3","TopLayer","0402-res","320.000","3230.000","270","Resistor"
"CN16","MHDR1X11","BottomLayer","MHDR1X11_Axonn","175.000","2875.000","90","Header, 11-Pin"
"CN15","MHDR1X11","BottomLayer","MHDR1X11_Axonn","175.000","2255.000","90","Header, 11-Pin"
"CN12","MHDR1X11","BottomLayer","MHDR1X11_Axonn","175.000","1635.000","90","Header, 11-Pin"
"U101","TC1014-3.3VCT713","TopLayer","SOT-23-CT5_N","1345.000","3745.000","270","50 mA, 100 mA and 150 mA CMOS LDOs with Active-Low Shutdown and Reference Bypass, 5-Pin SOT-23, Extended Temperature, Tape and Reel"
"U100","MCP1826-3302E/ET","TopLayer","DDPAK-ET5_N","941.142","3557.724","90","1000 mA, Low Voltage, Low Quiescent Current LDO Regulator, 5-Pin DDPAK, Extended Temperature"
"U99","MCP1826-3302E/ET","TopLayer","DDPAK-ET5_N","1670.000","3557.724","90","1000 mA, Low Voltage, Low Quiescent Current LDO Regulator, 5-Pin DDPAK, Extended Temperature"
"U98","TPS25921ADR","TopLayer","D8","1070.000","4100.000","270","Imported"
"U97","TPS25921ADR","TopLayer","D8","1685.000","4100.000","270","Imported"
"U96","RS6-1205S","TopLayer","RS6","735.000","4520.000","360","8-Terminal Positive dc-dc iso regulator - 5V @ 1,2A"
"U95","TRN3-1211","TopLayer","TRN3","685.512","4400.000","360","4-Terminal Positive dc-dc iso regulator - 5V @ 0,6A"
"U94","RS6-1205S","TopLayer","RS6","1875.000","4380.000","180","8-Terminal Positive dc-dc iso regulator - 5V @ 1,2A"
"U93","TRN3-1211","TopLayer","TRN3","1925.748","4500.000","180","4-Terminal Positive dc-dc iso regulator - 5V @ 0,6A"
"U92","MCP1826-3302E/ET","TopLayer","DDPAK-ET5_N","273.000","3557.724","90","1000 mA, Low Voltage, Low Quiescent Current LDO Regulator, 5-Pin DDPAK, Extended Temperature"
"U91","MCP1826-3302E/ET","TopLayer","DDPAK-ET5_N","2333.000","3557.724","90","1000 mA, Low Voltage, Low Quiescent Current LDO Regulator, 5-Pin DDPAK, Extended Temperature"
"U90","TPS25921ADR","TopLayer","D8","150.000","4435.000","270","Imported"
"U89","TPS25921ADR","TopLayer","D8","2460.000","4445.000","270","Imported"
"U88","R-78E5.0-1.0","TopLayer","TO-220","260.000","5008.000","180","3-Terminal Positive dc-dc regulator - 5V @ 1A"
