Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

CN6        Soquete_para_bateria_SB19    936.701mil       1047mil        543mil       1047mil        543mil       1047mil  B         90.00 11.0137        
fx4        fixa_m3                200mil        200mil        200mil        200mil        200mil        200mil  T          0.00 Comment        
fx3        fixa_m3               6730mil        200mil       6730mil        200mil       6730mil        200mil  T          0.00 Comment        
fx2        fixa_m3               6730mil       1380mil       6730mil       1380mil       6730mil       1380mil  T          0.00 Comment        
fx1        fixa_m3                200mil       1380mil        200mil       1380mil        200mil       1380mil  T          0.00 Comment        
U1         MCHP-MSOP-MS10_N        431mil        667mil        431mil        667mil     391.63mil    746.724mil  B        270.00 MCP79511-I/MS  
D1         SOT23-3N_-_BAT54FAIRCHILD        526mil       1338mil        526mil       1338mil    571.669mil   1276.976mil  B         90.00 04.0100        
FD2        FIDUCIAL               439mil        285mil        439mil        285mil        439mil        285mil  B        180.00 ##nl           
FD1        FIDUCIAL              6395mil       1274mil       6395mil       1274mil       6395mil       1274mil  B        180.00 ##nl           
X1         CRISTAL_DT-38          145mil        731mil        145mil        731mil        195mil        731mil  B         90.00 XTAL           
U2         DGK8_L                5764mil       1020mil       5764mil       1020mil   5802.386mil    939.291mil  B         90.00 SN65LVDS179MDGKREP
R50        0603_-_MONTAGEM_MÁQUINA       5844mil       1290mil       5844mil       1290mil       5844mil    1322.48mil  B        270.00 Res3           
R49        0603_-_MONTAGEM_MÁQUINA       5677mil       1291mil       5677mil       1291mil       5677mil    1258.52mil  B         90.00 Res3           
R48        0603_-_MONTAGEM_MÁQUINA       6536mil        807mil       6536mil        807mil    6568.48mil        807mil  B        180.00 Res3           
R47        0603_-_MONTAGEM_MÁQUINA       6681mil        808mil       6681mil        808mil    6713.48mil        808mil  B        180.00 Res3           
R46        0603_-_MONTAGEM_MÁQUINA       6631mil        928mil       6631mil        928mil       6631mil     895.52mil  B         90.00 Res3           
R45        0603_-_MONTAGEM_MÁQUINA       4458mil        799mil       4458mil        799mil       4458mil     766.52mil  B         90.00 Res3           
R44        0603_-_MONTAGEM_MÁQUINA       4451mil        530mil       4451mil        530mil       4451mil     497.52mil  B         90.00 Res3           
R43        0603_-_MONTAGEM_MÁQUINA       4458mil       1272mil       4458mil       1272mil       4458mil    1239.52mil  B         90.00 Res3           
R42        0603_-_MONTAGEM_MÁQUINA       4454mil       1005mil       4454mil       1005mil       4454mil     972.52mil  B         90.00 Res3           
R41        0603_-_MONTAGEM_MÁQUINA       3852mil        804mil       3852mil        804mil       3852mil     771.52mil  B         90.00 Res3           
R40        0603_-_MONTAGEM_MÁQUINA       3853mil        532mil       3853mil        532mil       3853mil     499.52mil  B         90.00 Res3           
R39        0603_-_MONTAGEM_MÁQUINA       3856mil       1281mil       3856mil       1281mil       3856mil    1248.52mil  B         90.00 Res3           
R38        0603_-_MONTAGEM_MÁQUINA       3853mil       1009mil       3853mil       1009mil       3853mil     976.52mil  B         90.00 Res3           
R37        0603_-_MONTAGEM_MÁQUINA       4689mil        802mil       4689mil        802mil       4689mil     834.48mil  B        270.00 Res3           
R36        0603_-_MONTAGEM_MÁQUINA       4682mil        536mil       4682mil        536mil       4682mil     568.48mil  B        270.00 Res3           
R35        0603_-_MONTAGEM_MÁQUINA       4689mil       1277mil       4689mil       1277mil       4689mil    1309.48mil  B        270.00 Res3           
R34        0603_-_MONTAGEM_MÁQUINA       4686mil       1005mil       4686mil       1005mil       4686mil    1037.48mil  B        270.00 Res3           
R33        0603_-_MONTAGEM_MÁQUINA       4082mil        805mil       4082mil        805mil       4082mil     837.48mil  B        270.00 Res3           
R32        0603_-_MONTAGEM_MÁQUINA       4082mil        537mil       4082mil        537mil       4082mil     569.48mil  B        270.00 Res3           
R31        0603_-_MONTAGEM_MÁQUINA       4086mil       1278mil       4086mil       1278mil       4086mil    1310.48mil  B        270.00 Res3           
